B,T,A
882aa85633fffff,0,30.648691508584378
882aa84461fffff,0,36.65681174892049
882aa8cc67fffff,0,28.06630782004693
882aa8cc2bfffff,0,7.323048222573587
882aa84491fffff,0,22.166639404580454
8829a19825fffff,0,34.844475380121146
882aa8c297fffff,0,20.752964053913136
8829a19b63fffff,0,31.708948021584867
8829a1d4d1fffff,1,33.47604220991902
8829a1d419fffff,1,31.002110346251207
882a306631fffff,1,6.616210547239929
882aa8c767fffff,1,27.467921969582903
882a300cb9fffff,2,20.04612637857947
882aa8575dfffff,2,33.47604220991902
882aa87b43fffff,2,21.106382891579965
8829a56c0bfffff,3,4.142278683572117
882aa84e91fffff,3,28.174759644916563
882aa854e3fffff,3,21.81322056691362
882a30640dfffff,3,33.46562564125815
8829a18959fffff,4,19.339288703245813
882aa84093fffff,4,35.94997407358683
8829a1d6abfffff,4,33.829461047585845
8829a1d121fffff,4,19.692707540912643
8829a1d63dfffff,5,23.226895917580944
8829a1d827fffff,5,36.62497499848827
8829a56ca5fffff,5,20.04612637857947
882a300f05fffff,5,20.399545216246306
882aa844ebfffff,6,26.761084294249244
8829a1d44dfffff,6,33.31788639421592
8829a1d44bfffff,7,28.320318676046842
8829a1c255fffff,7,24.02684318229511
882aa8c0cbfffff,8,23.933733592914606
882aa8d109fffff,8,28.174759644916563
8829a0b437fffff,8,16.158519164244343
882aaa8497fffff,8,27.114503131916077
8829a1d73dfffff,9,20.168892502480247
8829a19b43fffff,9,63.55717826078541
8829a1c2e7fffff,9,17.21877567724483
882aa8ce55fffff,9,30.29527267091755
8829a188e9fffff,9,20.752964053913136
882a3065c3fffff,9,14.391424975910194
882aa8c29dfffff,10,30.648691508584378
8829a1d1d3fffff,10,23.11261920611703
882aa8d5a5fffff,10,23.580314755247773
882a306627fffff,10,31.708948021584867
8829a0b461fffff,10,33.74792030632017
8829a1d639fffff,11,31.853646545967226
882aa8d09dfffff,11,25.347408943581925
882a306689fffff,11,21.106382891579965
882aa87a09fffff,12,33.122623372252185
882a30665bfffff,12,29.91222962272176
882aa844a7fffff,13,22.520058242247288
8829a1993bfffff,13,13.331168462909702
8829a1135dfffff,13,9.09014241090774
882a3066b7fffff,13,17.590061755312902
882aa87121fffff,14,32.415785696918526
882aa845e7fffff,14,22.166639404580454
882aa85459fffff,14,20.755761344832937
882aa84ee9fffff,14,16.511938001911172
8829a565b7fffff,15,31.549419480423616
882a3066bbfffff,15,9.7969800862414
882aa8c203fffff,15,28.572956806588593
882aa8c06bfffff,15,21.45980172924679
882aa84e85fffff,15,28.881597320250226
8829a19831fffff,16,34.53629872291951
882aa87a05fffff,16,33.71963649725806
882aa8c085fffff,17,32.78981722590291
882a3076e3fffff,17,28.5281784825834
882aa8d887fffff,17,36.65681174892049
882aa84635fffff,17,28.881597320250226
882aa8714dfffff,18,15.805100326577513
882aa8450bfffff,18,24.177327880253642
882a306601fffff,18,15.51787999468723
882aa84ea9fffff,18,27.114503131916077
882aa8459dfffff,18,28.5281784825834
882aa8c741fffff,19,34.65631939590398
882a307439fffff,19,33.090786621819966
8829a1886bfffff,20,34.03383769377972
882a33846bfffff,20,35.9937747554631
882a306419fffff,21,34.776873532047546
882aa845d5fffff,22,29.254256123776447
8829a1d817fffff,22,33.8984050042787
882aa87905fffff,22,32.40811457917396
882aa8d507fffff,22,34.80759963189833
882a30666bfffff,22,35.04876601293815
882a3066c5fffff,23,34.883419168299916
882aa8c76dfffff,23,31.800688523255126
